run_index,algorithm,duration,period,flowmonMode,seed,return_code,elapsed_seconds,decisions,handover_count,final_net,error
356,spotis,10.0,0.1,feed,556,0,12.7,100,28,0,
357,spotis,10.0,0.1,feed,557,0,12.2,100,18,0,
358,spotis,10.0,0.1,feed,558,0,13.9,100,24,0,
359,spotis,10.0,0.1,feed,559,0,14.1,100,22,0,
360,spotis,10.0,0.1,feed,560,0,12.6,100,26,0,
361,spotis,10.0,0.1,feed,561,0,12.6,100,20,0,
362,spotis,10.0,0.1,feed,562,0,21.7,100,24,0,
363,spotis,10.0,0.1,feed,563,0,12.4,100,20,0,
364,spotis,10.0,0.1,feed,564,0,12.3,100,24,0,
365,spotis,10.0,0.1,feed,565,0,19.9,100,26,0,
366,spotis,10.0,0.1,feed,566,0,12.2,100,22,0,
367,spotis,10.0,0.1,feed,567,0,12.9,100,22,0,
368,spotis,10.0,0.1,feed,568,0,12.3,100,22,0,
369,spotis,10.0,0.1,feed,569,0,13.0,100,24,0,
370,spotis,10.0,0.1,feed,570,0,13.4,100,24,0,
371,spotis,10.0,0.1,feed,571,0,12.1,100,18,0,
372,spotis,10.0,0.1,feed,572,0,13.2,100,24,0,
373,spotis,10.0,0.1,feed,573,0,17.4,100,24,0,
374,spotis,10.0,0.1,feed,574,0,12.0,100,18,0,
375,spotis,10.0,0.1,feed,575,0,13.9,100,24,0,
376,spotis,10.0,0.1,feed,576,0,18.1,100,26,0,
377,spotis,10.0,0.1,feed,577,0,12.4,100,18,0,
378,spotis,10.0,0.1,feed,578,0,12.6,100,26,0,
379,spotis,10.0,0.1,feed,579,0,13.2,100,28,0,
380,spotis,10.0,0.1,feed,580,0,12.5,100,24,0,
381,spotis,10.0,0.1,feed,581,0,13.3,100,22,0,
382,spotis,10.0,0.1,feed,582,0,13.3,100,26,0,
383,spotis,10.0,0.1,feed,583,0,13.2,100,26,0,
384,spotis,10.0,0.1,feed,584,0,12.9,100,26,0,
385,spotis,10.0,0.1,feed,585,0,13.8,100,22,0,
386,spotis,10.0,0.1,feed,586,0,14.1,100,18,0,
387,spotis,10.0,0.1,feed,587,0,17.5,100,28,0,
388,spotis,10.0,0.1,feed,588,0,15.2,100,26,0,
389,spotis,10.0,0.1,feed,589,0,12.9,100,26,0,
390,spotis,10.0,0.1,feed,590,0,18.4,100,26,0,
391,spotis,10.0,0.1,feed,591,0,13.8,100,30,0,
392,spotis,10.0,0.1,feed,592,0,13.1,100,26,0,
393,spotis,10.0,0.1,feed,593,0,19.6,100,18,0,
394,spotis,10.0,0.1,feed,594,0,12.6,100,26,0,
395,spotis,10.0,0.1,feed,595,0,12.3,100,22,0,
396,spotis,10.0,0.1,feed,596,0,12.6,100,22,0,
397,spotis,10.0,0.1,feed,597,0,21.9,100,30,0,
398,spotis,10.0,0.1,feed,598,0,13.8,100,24,0,
399,spotis,10.0,0.1,feed,599,0,12.6,100,22,0,
400,strongest-signal,10.0,0.1,feed,600,0,13.2,100,1,2,
401,strongest-signal,10.0,0.1,feed,601,0,12.1,100,2,0,
402,strongest-signal,10.0,0.1,feed,602,0,12.1,100,2,0,
403,strongest-signal,10.0,0.1,feed,603,0,12.5,100,1,2,
404,strongest-signal,10.0,0.1,feed,604,0,14.7,100,2,0,
405,strongest-signal,10.0,0.1,feed,605,0,14.1,100,1,2,
406,strongest-signal,10.0,0.1,feed,606,0,23.4,100,1,2,
407,strongest-signal,10.0,0.1,feed,607,0,14.1,100,2,0,
408,strongest-signal,10.0,0.1,feed,608,0,13.9,100,1,2,
409,strongest-signal,10.0,0.1,feed,609,0,13.0,100,2,0,
410,strongest-signal,10.0,0.1,feed,610,0,12.2,100,2,0,
411,strongest-signal,10.0,0.1,feed,611,0,13.5,100,2,0,
412,strongest-signal,10.0,0.1,feed,612,0,14.3,100,1,2,
413,strongest-signal,10.0,0.1,feed,613,0,23.2,100,2,0,
414,strongest-signal,10.0,0.1,feed,614,0,14.1,100,2,0,
415,strongest-signal,10.0,0.1,feed,615,0,13.8,100,2,0,
416,strongest-signal,10.0,0.1,feed,616,0,15.6,100,2,0,
417,strongest-signal,10.0,0.1,feed,617,0,13.8,100,2,0,
418,strongest-signal,10.0,0.1,feed,618,0,14.6,100,1,2,
419,strongest-signal,10.0,0.1,feed,619,0,13.5,100,1,2,
420,strongest-signal,10.0,0.1,feed,620,0,13.5,100,2,0,
421,strongest-signal,10.0,0.1,feed,621,0,13.8,100,1,2,
422,strongest-signal,10.0,0.1,feed,622,0,15.0,100,1,2,
423,strongest-signal,10.0,0.1,feed,623,0,13.7,100,2,0,
